YEAR,HWTSUPP,ASECFLAG,HFLAG,HHBRACKET99,CPI99,MONTH,WTSUPP,NRESP
1968,444147.75,NA,NA,250000,4.988,3,449179.64,356
1969,4376.58,NA,NA,-47000,4.787,3,4339.28,3
1969,7262.65,NA,NA,-44000,4.787,3,7204.17,6
1969,3546.39,NA,NA,-43000,4.787,3,3583.1,3
1969,3467.16,NA,NA,-38000,4.787,3,3446.23,3
1969,5275.32,NA,NA,-33000,4.787,3,5301.22,4
1969,7409.28,NA,NA,-30000,4.787,3,7363.88,6
1969,9069.94,NA,NA,-28000,4.787,3,9580.27,7
1969,13322.4,NA,NA,-26000,4.787,3,13340.89,10
1969,5286.84,NA,NA,-25000,4.787,3,5286.84,2
1969,6933.82,NA,NA,-23000,4.787,3,6836.84,5
1969,4467.92,NA,NA,-21000,4.787,3,4152.83,4
1969,3754.86,NA,NA,-19000,4.787,3,3825.95,3
1969,11841.25,NA,NA,-18000,4.787,3,11848.62,9
1969,6403.55,NA,NA,-17000,4.787,3,6643.97,5
1969,5962.48,NA,NA,-16000,4.787,3,6061.74,5
1969,12601.82,NA,NA,-15000,4.787,3,15647.75,11
1969,25261.48,NA,NA,-14000,4.787,3,25255.36,21
1969,10474.3,NA,NA,-12000,4.787,3,10912.89,9
1969,10651.9,NA,NA,-11000,4.787,3,10621.38,8
1969,7575.58,NA,NA,-10000,4.787,3,7507.97,6
1969,4769.88,NA,NA,-9000,4.787,3,4703.4,4
1969,6624.73,NA,NA,-8000,4.787,3,6239.29,6
1969,22928,NA,NA,-7000,4.787,3,22702.52,19
1969,8306.19,NA,NA,-6000,4.787,3,8310.02,7
1969,14894.94,NA,NA,-5000,4.787,3,15082.41,12
1969,26839.61,NA,NA,-4000,4.787,3,26908.97,22
1969,27818.18,NA,NA,-3000,4.787,3,30398.59,23
1969,19981.8,NA,NA,-2000,4.787,3,20063.28,16
1969,4827.33,NA,NA,-1000,4.787,3,4827.33,4
1969,46098.83,NA,NA,0,4.787,3,46515.04,38
1969,1059483.52,NA,NA,1000,4.787,3,1059063.13,790
1969,289782.73,NA,NA,2000,4.787,3,289647.05,215
1969,766973.41,NA,NA,3000,4.787,3,772440.45,578
1969,801807.23,NA,NA,4000,4.787,3,810229.3,598
1969,1400757.07,NA,NA,5000,4.787,3,1413737.28,1052
1969,1564148.39,NA,NA,6000,4.787,3,1559858.84,1204
1969,1560836.51,NA,NA,7000,4.787,3,1579547.71,1224
1969,1582403.27,NA,NA,8000,4.787,3,1594371.7,1219
1969,1620160.93,NA,NA,9000,4.787,3,1636032.02,1238
1969,2052942.19,NA,NA,10000,4.787,3,2072246.84,1617
1969,1823763.14,NA,NA,11000,4.787,3,1839290.3,1379
1969,2000255.73,NA,NA,12000,4.787,3,2018553.52,1546
1969,1747861.02,NA,NA,13000,4.787,3,1766602.79,1339
1969,1828278.16,NA,NA,14000,4.787,3,1841717.35,1419
1969,2670850.61,NA,NA,15000,4.787,3,2705758.46,2040
1969,2138319.49,NA,NA,16000,4.787,3,2160298.68,1645
1969,2170908.98,NA,NA,17000,4.787,3,2191169.66,1674
1969,2148642.73,NA,NA,18000,4.787,3,2166975.63,1656
1969,2121356.27,NA,NA,19000,4.787,3,2148300.27,1615
1969,2584595.52,NA,NA,20000,4.787,3,2610560.79,1995
1969,2141268.76,NA,NA,21000,4.787,3,2157274.75,1649
1969,2506737.56,NA,NA,22000,4.787,3,2533598.2,1926
1969,2322340.63,NA,NA,23000,4.787,3,2350834.07,1773
1969,3189835.58,NA,NA,24000,4.787,3,3208353.79,2472
1969,2516969.59,NA,NA,25000,4.787,3,2528690.18,1914
1969,2561152.54,NA,NA,26000,4.787,3,2580967.14,1978
1969,2693205.15,NA,NA,27000,4.787,3,2711207.82,2084
1969,2334858.53,NA,NA,28000,4.787,3,2347473.89,1830
1969,3913449.22,NA,NA,29000,4.787,3,3930790.79,3015
1969,2546614.72,NA,NA,30000,4.787,3,2569526.73,1958
1969,2264894.71,NA,NA,31000,4.787,3,2280165.06,1724
1969,3079932.36,NA,NA,32000,4.787,3,3110682.02,2374
1969,2527543.28,NA,NA,33000,4.787,3,2547498.15,1972
1969,4484268.41,NA,NA,34000,4.787,3,4532108.47,3419
1969,2976365.06,NA,NA,35000,4.787,3,3000134.39,2269
1969,3252069.72,NA,NA,36000,4.787,3,3270091.28,2542
1969,2695565.27,NA,NA,37000,4.787,3,2713534.69,2112
1969,2813372.84,NA,NA,38000,4.787,3,2840840.17,2213
1969,4450451.19,NA,NA,39000,4.787,3,4476468.49,3465
1969,3016079.78,NA,NA,40000,4.787,3,3030189.12,2310
1969,3381476.83,NA,NA,41000,4.787,3,3395776.03,2630
1969,2607467.65,NA,NA,42000,4.787,3,2596429.22,1999
1969,2311099.89,NA,NA,43000,4.787,3,2326996.16,1771
1969,4155238.53,NA,NA,44000,4.787,3,4166172.52,3189
1969,3021933.34,NA,NA,45000,4.787,3,3032127.29,2313
1969,3072616.36,NA,NA,46000,4.787,3,3089770.07,2356
1969,2622362.75,NA,NA,47000,4.787,3,2627918.29,2021
1969,4400002.62,NA,NA,48000,4.787,3,4424703.8,3474
1969,2895303.13,NA,NA,49000,4.787,3,2919794.92,2236
1969,2273570.36,NA,NA,50000,4.787,3,2278691.24,1777
1969,2781825.62,NA,NA,51000,4.787,3,2791839.05,2104
1969,2285187.63,NA,NA,52000,4.787,3,2305027.59,1781
1969,3340157.29,NA,NA,53000,4.787,3,3351586.47,2629
1969,2192219.52,NA,NA,54000,4.787,3,2210288.94,1688
1969,1856524.94,NA,NA,55000,4.787,3,1868071.08,1456
1969,2202626.58,NA,NA,56000,4.787,3,2216487.06,1713
1969,2010203.4,NA,NA,57000,4.787,3,2015293.67,1558
1969,3620356.13,NA,NA,58000,4.787,3,3618035.66,2805
1969,1917703.97,NA,NA,59000,4.787,3,1921908.47,1487
1969,2132626.56,NA,NA,60000,4.787,3,2146899.1,1659
1969,1674285.43,NA,NA,61000,4.787,3,1683474.94,1299
1969,1454656.32,NA,NA,62000,4.787,3,1457239.13,1150
1969,2577340.81,NA,NA,63000,4.787,3,2588080.4,2014
1969,1487704.38,NA,NA,64000,4.787,3,1497381.98,1150
1969,1675865.48,NA,NA,65000,4.787,3,1691248.02,1314
1969,1319995.01,NA,NA,66000,4.787,3,1321713.8,1015
1969,1198258.81,NA,NA,67000,4.787,3,1206059.95,924
1969,2313925.09,NA,NA,68000,4.787,3,2328783.1,1789
1969,1169220.97,NA,NA,69000,4.787,3,1174942.48,924
1969,1398782.01,NA,NA,70000,4.787,3,1410942.2,1096
1969,870808.78,NA,NA,71000,4.787,3,873644.6,685
1969,1791205.23,NA,NA,72000,4.787,3,1798116.24,1354
1969,1411873.5,NA,NA,73000,4.787,3,1428457.05,1088
1969,1129272.06,NA,NA,74000,4.787,3,1138707.65,873
1969,1135699.98,NA,NA,75000,4.787,3,1143380.56,897
1969,1005897.5,NA,NA,76000,4.787,3,1012256.15,772
1969,1217337.08,NA,NA,77000,4.787,3,1232596.67,951
1969,837640.33,NA,NA,78000,4.787,3,841254.75,649
1969,918531.8,NA,NA,79000,4.787,3,927380.52,723
1969,754362.86,NA,NA,80000,4.787,3,759144.68,565
1969,716346.06,NA,NA,81000,4.787,3,713670.55,549
1969,1038643.17,NA,NA,82000,4.787,3,1040926.22,808
1969,654250.94,NA,NA,83000,4.787,3,660293.47,516
1969,713635.6,NA,NA,84000,4.787,3,711848.61,554
1969,474479.42,NA,NA,85000,4.787,3,474868.49,375
1969,501993.36,NA,NA,86000,4.787,3,509723.91,386
1969,1003970.78,NA,NA,87000,4.787,3,1011285.82,785
1969,504746.32,NA,NA,88000,4.787,3,510872.48,387
1969,541427.86,NA,NA,89000,4.787,3,543735.74,422
1969,539855.98,NA,NA,90000,4.787,3,541499.45,424
1969,576641.86,NA,NA,91000,4.787,3,584301.64,440
1969,518146.88,NA,NA,92000,4.787,3,520904.85,411
1969,385683.09,NA,NA,93000,4.787,3,391179.08,282
1969,459037,NA,NA,94000,4.787,3,456290.19,358
1969,394785.06,NA,NA,95000,4.787,3,394327.82,309
1969,595987.11,NA,NA,96000,4.787,3,603536.52,466
1969,374173.33,NA,NA,97000,4.787,3,375686.85,295
1969,297156.25,NA,NA,98000,4.787,3,301166.94,238
1969,422598,NA,NA,99000,4.787,3,429040.72,341
1969,306896.05,NA,NA,1e+05,4.787,3,309414.76,242
1969,434121.87,NA,NA,101000,4.787,3,435799.28,345
1969,434470.46,NA,NA,102000,4.787,3,437424.43,339
1969,251637.61,NA,NA,103000,4.787,3,256076.48,201
1969,206555.58,NA,NA,104000,4.787,3,207457.6,161
1969,214259.97,NA,NA,105000,4.787,3,217991.48,172
1969,400404.87,NA,NA,106000,4.787,3,403164.19,316
1969,210828.42,NA,NA,107000,4.787,3,211496.09,166
1969,208078.09,NA,NA,108000,4.787,3,209521.9,163
1969,199020.32,NA,NA,109000,4.787,3,198604.48,159
1969,211236.5,NA,NA,110000,4.787,3,211042.56,152
1969,246985.69,NA,NA,111000,4.787,3,252742.13,190
1969,177221.74,NA,NA,112000,4.787,3,178319.76,138
1969,197114.36,NA,NA,113000,4.787,3,196422.15,153
1969,145963.77,NA,NA,114000,4.787,3,146961.32,113
1969,236418.3,NA,NA,115000,4.787,3,236543.13,175
1969,216056.88,NA,NA,116000,4.787,3,218293.29,172
1969,143257.71,NA,NA,117000,4.787,3,144547.04,110
1969,186960.31,NA,NA,118000,4.787,3,187946.88,131
1969,125518.98,NA,NA,119000,4.787,3,124632.93,96
1969,268702.88,NA,NA,120000,4.787,3,269818.16,206
1969,191641.94,NA,NA,121000,4.787,3,192262.51,153
1969,172720.05,NA,NA,122000,4.787,3,172723.66,127
1969,174929.77,NA,NA,123000,4.787,3,174797,138
1969,143782.68,NA,NA,124000,4.787,3,146852,110
1969,133561.74,NA,NA,125000,4.787,3,134126.83,102
1969,125099.97,NA,NA,126000,4.787,3,125160.51,94
1969,93714.91,NA,NA,127000,4.787,3,91678.57,74
1969,101536.68,NA,NA,128000,4.787,3,100667.4,81
1969,45937.35,NA,NA,129000,4.787,3,46927.63,36
1969,133498.94,NA,NA,130000,4.787,3,134475.53,107
1969,117726.11,NA,NA,131000,4.787,3,116861.42,83
